Username,Comment
@vetriselvan.mbiotech7098,Perfect blue pathi pesungaa naa
@EMMANUEL-qx5mb,Antha tamil padam edhu???
@adjakash4861,Gommala enum oru anime
@CSRKatheravans,One of the best anime 💥 worth to watch.
@hellrider4007,Monster anime Netflix la iruku
@ganeshadhithya3623,Thankyou brother talked about monster anime ❤🎉I love monster anime lot
@highflyer3722,Ok yedhulana na pakardhu
@user-nc6yp3ow2v,Novvv slam dunk paruga
@unknownboy9983,Vaayaa idhuku dhaan ya kaathunu irundhen
@roshaneinstein3650,Brooo
@UchihaMadara-ly1ut,Wammala indhan daw Anime 🥵
@Mohamedismail-vr3ml,I only watched till 15 ep
@fightclub6918,King yagami 👑
@dhanudharsan142,Johan Libert one of the best antagonist in anime
@EEFTARUNA,Oonayum aatukutiyum
@AKASHKUMARN-iz5zf,20th century boys 🐐🔥
@bat_man8147,johan libert  moss
@noruletamizhan5091,"Happy To See Monster Getting Recognition In TN
Idhula 20th Century Boys Padinga, Semmaya Irukum"
@akkreation1741,Master piece ❤
@rajakabilan7547,Lots of twist and turns.... MONSTER - Master Work by Naoki Urasawa
@hari4469,Idhu yenna tamil movie kadha
@chandrur573,"Bro baki hanma review podunga bro , vera maari iruku bro 2023 release"
@abishekece5855,Grimmer - good character i liked
@Akasuki_tamilan,Climax death note maari irukkathu ithula gommala vera maari irukkum..
@vvvhggh,❤
@karthikeyanmuthu4810,"His latest anime pluto released this year, based on astroboy"
@thividharshan7537,Grimmer - the magnificent Steiner ❤
@joseph22635,Monster>>>Death note
@arcreationphotographyofficial,Naa kekarathu one onuthan ithelam tamil la iruka illaya nu matum sollunga tamil dubbing nallaruka
@thinesgiant462,"If David fincher made an anime,it's monster"
@ShadowFight3820,Always Deathnoth😵
@vishalkarthikeyan49,"nae, nee sonna nu dhan nae monster eh paathen full ah naanu, vera maari anime enna nadula konjam slow ah irukkum but worth uh... idhellam paakama naanum anime paakren shounen mattum paathutu oru kootam suthudhu nae"
@thividharshan7537,Tenma ❤❤
@aravindh_sz1254,enna thala ipo lam inga varathu illa @vijay? waiting for more content
@che.efx.official,03:21 🤣🤣🤣
@UNKNOWN-sc7rr,Berserk anime and junji ito works and animes pathi sollunga bro
@s.k.sundaram1990,The Eminence in Shadow pathi review podunga bro
@gethcylivingston6969,65-74 episodes🔥🔥🔥 worth and scary
@Sathish-jn2tu,Best example  of antagonist johan liebert
@artmagician7036,More Anime content suggestions videos please
@gethcylivingston6969,One of the best anime I have watched 😊
@rameshs7136,finally vijay na remembered he has a channel called otaku monkeys.
@barathp4123,Anna raga and Dikshith younger See you for a long time
@navinkiran7795,Goat anime
@TalesofDarkEnergy,Slow burning horror 🤩 monster comic backstory was the psychotic
@PoornaPoorna-sd4rr,Tenma
@abineshm4553,Athu enna Tamil padam yarathu solunga pa😢
@TrendingTamilmemes001,ஓநாயும் ஆட்டுக்குட்டியும் 👍
@zoiiiinnnnnnnnnngggggg1627,Beck:mangolian chop squad paaru na
@DeepakDeepak-sp2ip,Bro motta bass anna enga bro
@d3strox985,20th century boys is a manga done by the same author... and it's a masterpiece.
@AJAY-si2zm,Small and toxic fandom 😭🙏
@chiranjeevid.k2930,Monster's Intro and Outro Goated
@gomathishankarps5048,Seinen Peak 🔥
@jagadesh7903,Vijay na is back in Otaku monkey it’s alive makkalee
